class,samples,v4_top1,v6_top1,avg_top1,conf_top1,trust_top1,oracle_top1
ALS_IceBucket_Challenge,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336,66.66666666666667
CPR,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
abseiling,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
add_new_car_tire,3,0.0,0.0,0.0,0.0,0.0,0.0
adjusting_glasses,3,0.0,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667
air_drumming,3,0.0,0.0,0.0,0.0,0.0,0.0
air_guitar,3,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336
air_hocky,3,0.0,0.0,0.0,0.0,0.0,0.0
alligator_wrestling,3,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667
applauding,3,0.0,0.0,0.0,0.0,0.0,0.0
applying_cream,3,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667
archery,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
arm_wave,3,0.0,0.0,0.0,0.0,0.0,0.0
arm_wrestling,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
atlatl_throw,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
axe_throwing,3,0.0,0.0,0.0,0.0,0.0,0.0
backflip,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
backward_roll,3,100.0,100.0,100.0,100.0,100.0,100.0
badminton_overswing,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
badminton_serve,3,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667
badminton_underswing,3,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667
balancebeam_flip,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
balancebeam_jump,3,66.66666666666667,100.0,100.0,66.66666666666667,66.66666666666667,100.0
balancebeam_rotate,3,33.333333333333336,0.0,0.0,0.0,33.333333333333336,33.333333333333336
balancebeam_spin,3,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
balancebeam_walk,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
balloon_animal,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
bandaging,3,0.0,0.0,0.0,0.0,0.0,0.0
base_jumping,3,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
baseball_bunt,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
baseball_catch_catcher,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
baseball_catch_flyball,3,0.0,0.0,0.0,0.0,0.0,0.0
baseball_catch_groundball,3,33.333333333333336,0.0,33.333333333333336,0.0,33.333333333333336,33.333333333333336
baseball_pitch,3,100.0,100.0,100.0,100.0,100.0,100.0
baseball_run,3,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
baseball_swing,3,100.0,100.0,100.0,100.0,100.0,100.0
basketball_dribble,3,0.0,0.0,0.0,0.0,0.0,0.0
basketball_dunk,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
basketball_hookshot,3,0.0,0.0,0.0,0.0,0.0,0.0
basketball_jabstep,3,66.66666666666667,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
basketball_layup,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
basketball_pass,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
basketball_shoot,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
battle-rope_jumping-jack,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
battle-rope_power-slam,3,100.0,100.0,100.0,100.0,100.0,100.0
battle-rope_rainbow,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
battle-rope_russian-twist,3,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667
battle-rope_sideplank,3,100.0,66.66666666666667,66.66666666666667,100.0,66.66666666666667,100.0
battle-rope_snake,3,66.66666666666667,100.0,66.66666666666667,66.66666666666667,66.66666666666667,100.0
battle-rope_wave,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
beer_pong_throw,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
belly_dancing,3,66.66666666666667,100.0,100.0,100.0,100.0,100.0
bench_dip,3,100.0,100.0,100.0,100.0,100.0,100.0
bending_back,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
bike_fall,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
billiard_hit,3,0.0,0.0,0.0,0.0,0.0,0.0
blow_gun,3,33.333333333333336,0.0,0.0,0.0,33.333333333333336,33.333333333333336
blowdrying_hair,3,0.0,0.0,0.0,0.0,0.0,0.0
blowing kisses,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
blowing_balloon,3,0.0,0.0,0.0,0.0,0.0,0.0
blowing_glass,3,0.0,0.0,0.0,0.0,0.0,0.0
blowing_gum,3,33.333333333333336,0.0,33.333333333333336,0.0,33.333333333333336,33.333333333333336
blowing_leaf,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336
blowing_nose,3,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667
bmx_jumping,3,0.0,0.0,0.0,0.0,0.0,0.0
bmx_riding,3,0.0,0.0,0.0,0.0,0.0,0.0
bowing_fullbody,3,100.0,100.0,100.0,100.0,100.0,100.0
bowing_waist,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
bowling,3,0.0,33.333333333333336,33.333333333333336,0.0,33.333333333333336,33.333333333333336
bowls_throw,3,33.333333333333336,0.0,33.333333333333336,0.0,33.333333333333336,33.333333333333336
breakdancing_flare,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
breakdancing_flip,3,100.0,100.0,100.0,100.0,100.0,100.0
breakdancing_rotate,3,100.0,100.0,100.0,100.0,100.0,100.0
breakdancing_support,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
brushing_floor,3,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336
brushing_hair,3,0.0,0.0,0.0,0.0,0.0,0.0
brushing_teeth,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
building_snowman,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
burpee,3,100.0,100.0,100.0,100.0,100.0,100.0
burping,3,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
calfrope_catch,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
calfrope_rope,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
calfrope_subdue,3,33.333333333333336,0.0,0.0,0.0,33.333333333333336,33.333333333333336
canoeing_slalom,3,0.0,0.0,0.0,0.0,0.0,0.0
canoeing_sprint,3,100.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,100.0
card_throw,3,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336
carrying_with_head,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
cartwheeling,3,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667
cast_net,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
chainsaw_log,3,0.0,0.0,0.0,0.0,0.0,0.0
chainsaw_tree,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
chalkboard,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
chewing_gum,3,33.333333333333336,100.0,66.66666666666667,66.66666666666667,66.66666666666667,100.0
chopping_meat,3,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336
chopping_wood,3,0.0,0.0,0.0,0.0,0.0,0.0
cleaning_mirror,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
cleaning_mopping,3,0.0,0.0,0.0,0.0,0.0,0.0
cleaning_sweeping,3,0.0,0.0,0.0,0.0,0.0,0.0
cleaning_vacumming,3,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
cleaning_windows,3,0.0,0.0,0.0,0.0,0.0,0.0
clear_snow_off_car,3,0.0,0.0,0.0,0.0,0.0,0.0
climb_icecliff,3,0.0,0.0,0.0,0.0,0.0,0.0
climb_ladder,3,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336
climb_pole,3,66.66666666666667,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
climb_stair,3,33.333333333333336,0.0,33.333333333333336,0.0,0.0,33.333333333333336
climbing_rock,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
climbing_rope,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
climbing_tree,3,0.0,0.0,0.0,0.0,0.0,0.0
closing_door,3,0.0,0.0,0.0,0.0,0.0,0.0
conducting,3,0.0,0.0,0.0,0.0,0.0,0.0
crawling,3,0.0,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667
cross_body_shoulder_stretch,3,66.66666666666667,100.0,100.0,100.0,100.0,100.0
cross_country_ski_slide,3,66.66666666666667,66.66666666666667,100.0,66.66666666666667,66.66666666666667,100.0
cross_country_ski_walk,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
crossbow_shoot,3,0.0,0.0,0.0,0.0,0.0,0.0
curling_follow,3,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0
curling_push,3,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667
curling_sweep,3,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
cutting_onion,3,0.0,0.0,0.0,0.0,0.0,0.0
dabbing,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
dart_throw,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
decorating_snowman,3,0.0,0.0,0.0,0.0,0.0,0.0
dice_shuffle_reveal,3,0.0,0.0,0.0,0.0,0.0,0.0
dice_stack_shuffle,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
dips,3,100.0,100.0,100.0,100.0,100.0,100.0
discuss_throw,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
diving_jump,3,0.0,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336
diving_rotate,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
diving_sneak,3,100.0,100.0,100.0,100.0,100.0,100.0
dj,3,0.0,0.0,0.0,0.0,0.0,0.0
dog_highfive,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
dog_walking,3,0.0,0.0,0.0,0.0,0.0,0.0
draw_handgun,3,0.0,0.0,0.0,0.0,0.0,0.0
drinking_with_cup,3,0.0,0.0,0.0,0.0,0.0,0.0
drinking_with_straw,3,0.0,0.0,0.0,0.0,0.0,0.0
eat_apple,3,0.0,0.0,0.0,0.0,0.0,0.0
eat_burger,3,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667
eat_spagetti,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
eating_hotdogs,3,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
eating_ice_cream,3,0.0,0.0,0.0,0.0,0.0,0.0
eating_oyster,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
equestrian_dressage,3,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336
equestrian_jump,3,0.0,0.0,0.0,0.0,0.0,0.0
equestrian_run,3,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
face-changing_opera,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
face_slapping,3,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
falling_off_chair,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336
figure_skate_I_spin,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
figure_skate_backward,3,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336
figure_skate_bielman_spin,3,100.0,100.0,100.0,100.0,100.0,100.0
figure_skate_camel_spin,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
figure_skate_donut_spin,3,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667
figure_skate_forward,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
