class,idx,top1_acc,top5_acc,samples,top_conf_1,top_conf_1_count,top_confusions
bandaging,27,0.0,0.0,6,play_gong,1,"play_gong(1), play_yangqin(1), washing_dishes(1)"
baseball_catch_flyball,31,0.0,0.0,6,ALS_IceBucket_Challenge,1,"ALS_IceBucket_Challenge(1), split_leap(1), ski_frontflip(1)"
blowing_glass,60,0.0,0.0,6,battle-rope_wave,1,"battle-rope_wave(1), play_leaf-flute(1), play_harp(1)"
brushing_teeth,76,0.0,0.0,6,blowing_glass,2,"blowing_glass(2), whistle_one_hand(2), shaving_beard(1)"
chainsaw_log,89,0.0,0.0,6,tight-rope_walking,1,"tight-rope_walking(1), decorating_snowman(1), rolling_snow(1)"
cleaning_vacumming,98,0.0,0.0,6,blowing_leaf,1,"blowing_leaf(1), using_metal_detector(1), dog_walking(1)"
climbing_tree,107,0.0,0.0,6,flamethrower,1,"flamethrower(1), alligator_wrestling(1), playing_seesaw(1)"
decorating_snowman,121,0.0,0.0,6,milking,2,"milking(2), blowing_leaf(1), spraying_wall(1)"
dj,129,0.0,0.0,6,play_serpent,2,"play_serpent(2), beer_pong_throw(1), ironing_clothes(1)"
drinking_with_cup,133,0.0,0.0,6,kiss,1,"kiss(1), peeling_banana(1), eat_spagetti(1)"
eat_apple,135,0.0,0.0,6,taekwondo_middle_block,1,"taekwondo_middle_block(1), shaking_head(1), whistle_one_hand(1)"
eating_hotdogs,138,0.0,0.0,6,dice_shuffle_reveal,1,"dice_shuffle_reveal(1), hold_baby(1), whistle_two_hands(1)"
eating_ice_cream,139,0.0,0.0,6,play_recorder,1,"play_recorder(1), brushing_teeth(1), hold_baby(1)"
flamethrower,164,0.0,0.0,6,fire_extinguisher,3,"fire_extinguisher(3), play_bagpipes(1), tug_of_war(1)"
football_catch,172,0.0,0.0,6,long_jump_jump,1,"long_jump_jump(1), clear_snow_off_car(1), throw_paper-plane(1)"
gas_pumping_to_car,182,0.0,0.0,6,bowing_waist,1,"bowing_waist(1), screw_car_tire(1), spitting_on_face(1)"
grass_skiing,186,0.0,0.0,6,using_lawn_mower_riding_type,1,"using_lawn_mower_riding_type(1), ride_horse(1), ride_motorcycle(1)"
hanging_clothes,208,0.0,0.0,6,flying_kite,2,"flying_kite(2), ride_motorcycle(1), brushing_hair(1)"
hugging_animal,225,0.0,0.0,6,jetski,2,"jetski(2), dog_highfive(1), eating_ice_cream(1)"
paragliding,254,0.0,0.0,6,applauding,1,"applauding(1), skydiving(1), play_cello(1)"
play_gong,274,0.0,0.0,6,playing_snare_drum,1,"playing_snare_drum(1), chalkboard(1), play_trombone(1)"
play_melodic,287,0.0,0.0,6,play_banjo,1,"play_banjo(1), play_yangqin(1), gas_pumping_to_car(1)"
play_panpipe,290,0.0,0.0,6,shaving_beard,2,"shaving_beard(2), play_ocarina(2), play_ otamatone(1)"
play_tambourine,299,0.0,0.0,6,peeling_banana,2,"peeling_banana(2), heimlich_maneuver(1), chainsaw_tree(1)"
playing_taiko_drum,319,0.0,0.0,6,pancake_flip,1,"pancake_flip(1), beer_pong_throw(1), juggling_balls(1)"
pouring_wine,324,0.0,0.0,6,play_serpent,3,"play_serpent(3), hookah(1), smoking_exhale(1)"
push_wheelchair,329,0.0,0.0,6,sack_race,1,"sack_race(1), ganggangsullae(1), play_doublebass(1)"
riding_elephant,343,0.0,0.0,6,using_spinning_wheel,1,"using_spinning_wheel(1), ice_scuplting(1), balancebeam_spin(1)"
rock_balancing,345,0.0,0.0,6,playing_rubiks_cube,2,"playing_rubiks_cube(2), wall_paint_brush(1), throw_paper-plane(1)"
roller-skating_forward,348,0.0,0.0,6,using_string_trimmer,1,"using_string_trimmer(1), cross_country_ski_walk(1), volleyball_pass(1)"
sack_race,354,0.0,0.0,6,cross_country_ski_walk,1,"cross_country_ski_walk(1), volleyball_set(1), stomping_grapes(1)"
skateboard_forward,372,0.0,0.0,6,moonwalk,2,"moonwalk(2), sandboarding_forward(1), badminton_serve(1)"
ski_backflip,375,0.0,0.0,6,backward_roll,1,"backward_roll(1), equestrian_jump(1), skydiving(1)"
smoking_inhale,386,0.0,0.0,6,whistle_one_hand,2,"whistle_one_hand(2), eating_hotdogs(1), sticking tongue out(1)"
trapeze_interacting,443,0.0,0.0,6,unevenbar_cross,2,"unevenbar_cross(2), abseiling(1), play_ocarina(1)"
air_guitar,6,0.0,16.666666666666668,6,hailing_taxi,1,"hailing_taxi(1), frisbee_throw(1), hand_in_hand(1)"
applauding,9,0.0,16.666666666666668,6,fist_bump,1,"fist_bump(1), hand-drill_firemaking_blow(1), heimlich_maneuver(1)"
bmx_riding,65,0.0,16.666666666666668,6,gym_ride,2,"gym_ride(2), calfrope_subdue(1), skydiving(1)"
card_throw,85,0.0,16.666666666666668,6,fire_extinguisher,1,"fire_extinguisher(1), using_metal_detector(1), basketball_pass(1)"
crossbow_shoot,114,0.0,16.666666666666668,6,shooting_handgun,2,"shooting_handgun(2), play_triangle(1), cleaning_mopping(1)"
equestrian_run,143,0.0,16.666666666666668,6,paragliding,1,"paragliding(1), playing_bass_drum(1), face-changing_opera(1)"
face-changing_opera,144,0.0,16.666666666666668,6,shooting_shotgun,1,"shooting_shotgun(1), throw_paper-plane(1), hugging_human(1)"
face_slapping,145,0.0,16.666666666666668,6,pancake_flip,2,"pancake_flip(2), sticking tongue out(1), play_cymbals(1)"
flying_kite,169,0.0,16.666666666666668,6,play_gong,1,"play_gong(1), javelin_run(1), basketball_shoot(1)"
haircut_scissor,198,0.0,16.666666666666668,6,gym_push,1,"gym_push(1), play_sitar(1), playing_rubiks_cube(1)"
hammering_nail,200,0.0,16.666666666666668,6,punching_sandbag,1,"punching_sandbag(1), play_bangu(1), chopping_meat(1)"
